String,shouvik,0,0,0,0,0,1,0,0,0
String,baban,0,0,0,0,0,1,0,0,0
String,Shouvik Basu,0,1,0,0,0,1,0,0,0
String,Shouvik@Basu,0,0,0,0,0,1,1,0,0
String,sayanesh,0,0,0,0,0,1,0,0,0
String,Tiyasa,0,0,0,0,0,1,0,0,0
String,Tapas Khanra,0,1,0,0,0,1,0,0,0
String,Amit Khanra,0,1,0,0,0,1,0,0,0
String,Priya,0,0,0,0,0,1,0,0,0
String,Kajal,0,0,0,0,0,1,0,0,0
String,Priya1,1,0,0,0,0,1,0,0,0
String,Kajal2,1,0,0,0,0,1,0,0,0
String,baban3,1,0,0,0,0,1,0,0,0
String,sayanesh4,1,0,0,0,0,1,0,0,0
String,Tiyasa5,1,0,0,0,0,1,0,0,0
String,Kajal-Ghosh,0,0,1,0,0,1,0,0,0
String,Kajal-Ghosh-,0,0,1,0,0,1,0,0,0
String,Kajal:Ghosh,0,0,0,0,1,1,0,0,0
String,Kajal.Ghosh,0,0,0,1,0,1,0,0,0
Number,1,1,0,0,0,0,0,0,0,0
Number,12,1,0,0,0,0,0,0,0,0
Number,123,1,0,0,0,0,0,0,0,0
Number,1234,1,0,0,0,0,0,0,0,0
Number,-123,1,0,1,0,0,0,0,0,0
Number,-12,1,0,1,0,0,0,0,0,0
Number,-1,1,0,1,0,0,0,0,0,0
Number,0,1,0,0,0,0,0,0,0,0
Number,1.0,1,0,0,1,0,0,0,0,0
Number,1.01,1,0,0,1,0,0,0,0,0
Number,1.012,1,0,0,1,0,0,0,0,0
Date,12-02-2018,1,0,1,0,0,0,0,1,0
Date,11-01-2017,1,0,1,0,0,0,0,1,0
Date,10-12-2016,1,0,1,0,0,0,0,1,0
Date,09-11-2015,1,0,1,0,0,0,0,1,0
Date,08-10-2014,1,0,1,0,0,0,0,1,0
Date,07-09-2013,1,0,1,0,0,0,0,1,0
Date,06-08-2012,1,0,1,0,0,0,0,1,0
Date,05-07-2011,1,0,1,0,0,0,0,1,0
Date,04-06-2010,1,0,1,0,0,0,0,1,0
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
Timestamp,12-02-2018 12:35:35,1,1,1,0,1,0,0,0,1
